# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
9.87, 0.27, 0.2653, 0.2633, -3.2143e-05, 0.2685, 0.2531, 3.2176e-03, 0.2933, 0.1964, 8.3681e-02, 9.2212e+02, 0.81257, a>0.4R_H
8.77, 0.17, 0.1817, 0.0098, 3.9095e-03, 0.2259, 0.1490, -3.2305e-03, 0.1974, 0.0755, 2.0267e-02, 1.0000e+05, 76.95779, tmax
6.55, 0.30, 0.5525, 0.0167, -3.2815e-02, 0.4890, 0.0449, 6.4481e-02, 0.5141, 0.2080, 3.8436e-02, 4.9521e+03, 4.15226, d<R_roche
4.83, 0.20, 320073.0664, 1.0000, -1.0027e+00, 0.0000, 1.0000, -1.0025e+00, 0.0000, 1.0000, 1.7542e-01, 8.5381e+02, 0.68482, a<0
9.56, 0.21, 0.2286, 0.0752, 4.0429e-03, 0.2606, 0.1777, 1.0353e-02, 0.2601, 0.0476, 5.7053e-03, 1.0000e+05, 80.33809, tmax
4.33, 0.26, 0.0000, 1.0000, 7.6329e-01, 0.0000, 1.0000, -3.2209e-01, 0.0000, 1.0000, 6.7864e-02, 1.6147e+02, 0.14660, collision
8.15, 0.24, 0.2624, 0.0517, 1.2149e-03, 0.3571, 0.2086, 9.7259e-03, 0.2916, 0.1490, 3.8086e-02, 1.0000e+05, 80.71168, tmax
5.15, 0.20, 0.2431, 0.0418, -6.8683e-02, 0.4523, 0.0973, 1.4808e+00, 0.4293, 0.0555, -3.6305e-01, 3.9553e+03, 3.26164, collision
9.76, 0.23, 0.2550, 0.0883, 4.5714e-03, 0.2863, 0.1911, -3.9206e-03, 0.3105, 0.0338, 4.3883e-02, 1.0000e+05, 81.47757, tmax
10.94, 0.23, 0.2284, 0.2284, -5.9844e-05, 0.2246, 0.2246, -1.9292e-04, 452611.9771, 1.0000, -1.0004e+00, 8.5381e+02, 0.75071, a<0
4.22, 0.12, 0.4678, 0.0129, -1.6241e-01, 0.2908, 0.0025, 7.8267e-02, 0.3175, 0.0088, 1.7143e+00, 7.0281e+03, 5.63370, collision
6.18, 0.16, 0.3960, 0.0079, -2.0771e-03, 0.3374, 0.0008, 1.3750e-02, 0.2710, 0.0030, 1.0694e-03, 1.0000e+05, 81.99372, tmax
10.45, 0.03, 0.0375, 0.0375, -4.2679e-03, 0.0059, 0.0059, 4.2201e-02, 4926.7919, 1.0000, -1.0097e+00, 8.5381e+02, 0.60787, a<0
3.67, 0.07, 0.0000, 1.0000, -3.6230e-03, 0.0000, 1.0000, 8.6810e-02, 0.0000, 1.0000, 2.3419e-01, 1.4274e+02, 0.20011, collision
9.32, 0.22, 0.2545, 0.0758, 4.0312e-03, 0.2806, 0.1789, 8.4074e-03, 0.2512, 0.0716, -9.5982e-03, 1.0000e+05, 81.65706, tmax
9.65, 0.29, 0.3039, 0.0769, 4.9754e-03, 0.3686, 0.2514, 5.1000e-03, 0.3418, 0.0744, 1.6097e-02, 1.0000e+05, 83.00237, tmax
3.73, 0.04, 0.0000, 1.0000, -8.2165e-02, 0.0000, 1.0000, 2.6200e-01, 0.0000, 1.0000, 2.0303e-01, 5.5653e+01, 0.04499, collision
10.89, 0.04, 0.0000, 1.0000, 2.8480e-03, 0.0000, 1.0000, -1.3009e-02, 0.0000, 1.0000, -9.9770e-01, 1.1414e+02, 0.08126, collision
7.98, 0.23, 0.3704, 0.0037, 7.3124e-03, 0.3501, 0.1662, -6.4106e-03, 0.2375, 0.0953, 1.1517e-02, 1.0000e+05, 83.17722, tmax
10.89, 0.28, 0.2776, 0.2776, -6.3182e-05, 0.2727, 0.2727, 1.2421e-02, 470622.6393, 1.0000, -1.0004e+00, 8.5381e+02, 0.73965, a<0
3.56, 0.20, 0.0000, 1.0000, 1.9801e+00, 0.0000, 1.0000, -4.1381e-01, 0.0000, 1.0000, 7.0212e-02, 1.7145e+01, 0.01437, collision
5.51, 0.24, 0.5236, 0.0078, -4.1044e-02, 0.4802, 0.0624, 5.7705e-02, 0.5929, 0.0447, 9.2930e-02, 9.9384e+03, 8.50702, d<R_roche
9.40, 0.00, 0.0023, 0.0001, 3.1401e-03, 0.0158, 0.0001, -2.6006e-03, 0.1331, 0.0022, 9.5088e-03, 1.0000e+05, 70.65588, tmax
9.67, 0.30, 0.3337, 0.1140, 5.4578e-03, 0.3722, 0.2344, 1.6877e-02, 0.3497, 0.0836, 3.8747e-02, 1.0000e+05, 85.45559, tmax
6.80, 0.14, 0.1526, 0.0095, 3.5285e-03, 0.2065, 0.0008, 1.2642e-02, 0.2188, 0.0583, 7.6820e-03, 1.0000e+05, 74.55768, tmax
10.26, 0.23, 0.2803, 0.2406, 7.3983e-03, 0.6285, 0.0206, 2.7084e+00, 0.6439, 0.0156, -7.3063e-01, 5.7718e+03, 5.05452, a>0.4R_H
8.04, 0.26, 0.5052, 0.0033, 9.4818e-03, 0.4225, 0.0397, -2.1609e-03, 0.3533, 0.1209, 4.1106e-02, 1.0000e+05, 87.37565, tmax
6.05, 0.17, 0.5186, 0.0260, -2.1444e-01, 0.6276, 0.0051, 9.2053e-01, 0.5771, 0.0173, 2.0853e-01, 1.6359e+04, 14.63520, d<R_roche
9.55, 0.27, 0.3145, 0.0662, 1.0138e-02, 0.3494, 0.2201, -2.0685e-02, 0.3274, 0.0806, 8.0387e-02, 1.0000e+05, 86.29688, tmax
6.15, 0.24, 0.4806, 0.0080, 1.0495e+00, 0.4405, 0.0258, -4.6341e-01, 0.3378, 0.0068, 1.5390e-02, 9.7785e+03, 8.53799, collision
10.50, 0.24, 0.2385, 0.2385, 4.4050e-04, 0.4041, 0.4041, -1.4037e-01, 113292.1014, 1.0000, -1.0013e+00, 8.5381e+02, 0.79019, a<0
3.75, 0.00, 0.0000, 1.0000, 2.4143e-01, 0.0000, 1.0000, -1.7709e-01, 0.0000, 1.0000, 9.0531e-02, 5.3926e+01, 0.07698, collision
4.34, 0.07, 0.1762, 0.0038, -2.1420e-01, 0.5625, 0.0054, 2.0596e+00, 0.2406, 0.0007, -1.0320e-01, 2.0947e+04, 15.47218, collision
5.17, 0.28, 0.3642, 0.0172, -2.4974e-01, 0.7736, 0.0143, 8.7517e-01, 0.5333, 0.0125, 4.1374e-01, 1.0690e+04, 11.16497, d<R_roche
4.40, 0.14, 0.1933, 0.0104, -1.3966e-01, 0.2081, 0.0106, 3.8059e-01, 0.3591, 0.1541, 3.4744e-01, 5.0196e+03, 3.85056, collision
6.92, 0.30, 0.4244, 0.0833, 9.9095e-01, 0.3995, 0.0804, -4.7116e-01, 0.4625, 0.2370, 1.7339e-02, 1.2023e+04, 10.49629, collision
5.68, 0.25, 0.4691, 0.0065, -6.3463e-02, 0.5469, 0.0353, 1.5923e+00, 0.4939, 0.0805, -3.7165e-01, 1.6008e+04, 13.26195, collision
10.23, 0.29, 0.2859, 0.2859, -4.4896e-05, 0.2777, 0.2777, -6.0631e-04, 0.2582, 0.2582, 1.1515e-02, 8.5381e+02, 0.75092, a>0.4R_H
5.46, 0.02, 0.0309, 0.0000, 2.4167e-03, 0.0362, 0.0004, 1.3576e-02, 0.0455, 0.0008, 1.3311e-02, 1.0000e+05, 71.24068, tmax
