# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, t_end(PM), wall_time, fate
4.14, 0.00, 0.2812, 0.0058, 6.0365e-02, 0.2561, 0.0030, 5.2688e-02, 0.1923, 0.0010, 1.8243e-02, 0.1819, 0.0027, 2.3909e-02, 6.9853e+04, 65.80302, collision
4.28, 0.00, 0.4446, 0.0014, -1.9211e-01, 0.5981, 0.0011, 1.1513e-02, 0.7035, 0.0022, 1.0180e+00, 0.4978, 0.0007, 3.4737e-01, 7.2779e+04, 66.25061, d<R_roche
4.21, 0.00, 0.2958, 0.0017, 2.8572e-01, 0.2755, 0.0007, -1.5624e-01, 0.3016, 0.0022, 2.8266e-02, 0.3195, 0.0004, 2.5581e-01, 7.7974e+04, 70.95697, collision
4.23, 0.00, 0.3211, 0.0017, -6.1301e-02, 0.2732, 0.0013, 1.1720e-01, 0.3757, 0.0012, 3.6357e+00, 0.3089, 0.0017, -4.2731e-01, 7.9742e+04, 72.86938, collision
4.22, 0.00, 0.2450, 0.0042, 1.1560e-02, 0.2467, 0.0005, 7.9703e-01, 0.2553, 0.0005, -3.0383e-01, 0.2144, 0.0018, 3.7952e-02, 9.5259e+04, 87.58634, collision
4.42, 0.00, 0.2195, 0.0025, 2.6370e-01, 0.2162, 0.0008, -1.8901e-02, 0.3081, 0.0009, 8.9961e-02, 0.1281, 0.0002, 6.8713e-02, 1.0602e+05, 93.25685, collision
4.26, 0.00, 0.2880, 0.0010, -1.1728e-01, 0.3003, 0.0010, 5.3343e-01, 0.1872, 0.0003, 7.7870e-02, 0.3134, 0.0006, 2.2997e-01, 1.0903e+05, 97.43605, collision
4.09, 0.00, 0.3289, 0.0035, 3.4339e-01, 0.2937, 0.0029, -1.7568e-01, 0.2813, 0.0010, 4.0360e-03, 0.1987, 0.0033, 8.6832e-02, 1.0963e+05, 103.92471, collision
4.11, 0.00, 0.3344, 0.0040, -3.5661e-02, 0.6156, 0.0022, 3.4442e+00, 0.7747, 0.0024, 2.4425e+00, 0.3194, 0.0015, -7.0468e-01, 1.1580e+05, 109.62487, collision
4.25, 0.00, 0.4260, 0.0005, -2.7843e-01, 0.7493, 0.0004, 6.4119e-01, 0.6780, 0.0014, 2.1632e-01, 0.7231, 0.0009, 1.0254e+00, 1.4112e+05, 128.42829, d<R_roche
4.20, 0.00, 0.2937, 0.0037, -4.1942e-02, 0.2582, 0.0020, 3.7161e-01, 0.2657, 0.0014, 5.2333e-02, 0.1992, 0.0008, 8.0195e-02, 1.4118e+05, 129.51755, collision
4.32, 0.00, 0.4293, 0.0011, -7.9369e-02, 0.6699, 0.0001, 3.6310e-01, 0.4406, 0.0008, 2.4892e-01, 0.2012, 0.0005, 1.4021e-01, 1.5543e+05, 137.73817, collision
4.18, 0.00, 0.3131, 0.0021, 1.3101e+00, 0.3115, 0.0011, -3.5447e-01, 0.1990, 0.0003, -2.9001e-02, 0.1643, 0.0003, 4.8851e-02, 1.5628e+05, 143.43303, collision
4.27, 0.00, 0.2233, 0.0032, 3.6118e-01, 0.2233, 0.0006, -1.9793e-01, 0.2344, 0.0008, 2.2590e-02, 0.1757, 0.0012, -3.8516e-03, 1.6801e+05, 148.86739, collision
4.31, 0.00, 0.3659, 0.0010, 4.8305e-02, 0.3419, 0.0008, -1.2101e-01, 0.5519, 0.0004, 7.5954e-01, 0.2561, 0.0002, 1.6717e-02, 1.7079e+05, 152.16160, collision
4.17, 0.00, 0.4467, 0.0051, 2.4459e+00, 0.2916, 0.0009, -4.6369e-01, 0.4044, 0.0004, 5.1537e-02, 0.1878, 0.0004, -4.3336e-02, 1.9655e+05, 180.99215, collision
4.33, 0.00, 0.2422, 0.0008, 2.7284e-02, 0.2712, 0.0004, 7.4292e-01, 0.2122, 0.0005, -2.2569e-01, 0.1745, 0.0007, 4.7245e-02, 2.1476e+05, 188.34825, collision
4.39, 0.00, 0.4386, 0.0004, 3.0007e-01, 0.3722, 0.0002, -3.2227e-01, 0.5862, 0.0006, 7.5153e-01, 0.6193, 0.0005, 1.6092e-01, 2.1927e+05, 194.12935, collision
4.13, 0.00, 0.2971, 0.0068, -1.2685e-01, 0.4520, 0.0013, 5.2331e-01, 0.2674, 0.0002, 8.9476e-01, 0.4569, 0.0005, -2.7249e-01, 2.1274e+05, 198.09531, collision
4.37, 0.00, 0.2491, 0.0001, 2.2036e+00, 0.2251, 0.0006, -4.8925e-01, 0.3994, 0.0001, 3.8793e-01, 0.2779, 0.0006, 8.5051e-02, 2.2911e+05, 199.01467, collision
4.24, 0.00, 0.2670, 0.0020, 5.3012e-01, 0.2615, 0.0005, -2.3876e-01, 0.2433, 0.0011, 4.7623e-02, 0.2214, 0.0006, 5.0029e-02, 2.3133e+05, 206.60187, collision
4.30, 0.00, 0.2306, 0.0012, 5.2854e-01, 0.2949, 0.0006, -2.6310e-01, 0.3878, 0.0004, 8.9102e-01, 0.2474, 0.0005, -3.3373e-01, 2.4119e+05, 212.13755, collision
4.19, 0.00, 0.3339, 0.0023, -1.1051e-01, 0.3944, 0.0004, 3.2901e-01, 0.5810, 0.0004, 1.4303e+00, 0.3744, 0.0012, -3.3012e-01, 2.4423e+05, 223.21700, collision
4.34, 0.00, 0.2755, 0.0005, 4.6101e-01, 0.2681, 0.0003, -2.9669e-01, 0.4344, 0.0006, 3.1673e-01, 0.1982, 0.0006, 4.7903e-02, 2.7996e+05, 244.39725, collision
4.29, 0.00, 0.5049, 0.0005, -2.1635e-01, 0.5667, 0.0012, 8.6417e-01, 0.2677, 0.0005, 5.7900e-02, 0.1822, 0.0005, 1.7650e-01, 2.7732e+05, 245.42045, d<R_roche
4.48, 0.00, 0.3225, 0.0006, 3.5873e-02, 0.2938, 0.0002, 1.5747e-01, 0.2948, 0.0004, 2.0232e-01, 0.3149, 0.0005, 1.1402e-01, 2.9594e+05, 253.72959, collision
