# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
4.55, 0.00, 0.1152, 0.0015, -4.1270e-02, 0.0969, 0.0012, 1.6552e-01, 0.0750, 0.0093, -7.9783e-02, 0.0862, 0.0041, 6.4220e-03, 0.0203, 0.0015, 1.0783e-03, 2.5132e+03, 2.71773, collision
4.51, 0.00, 0.1122, 0.0004, -9.6945e-02, 0.2165, 0.0023, -1.8481e-02, 0.1608, 0.0045, 3.1605e-01, 0.0679, 0.0052, -5.5070e-02, 0.0289, 0.0010, 3.3663e-02, 2.5322e+03, 2.82356, collision
4.66, 0.00, 0.1239, 0.0293, -1.1186e-01, 0.2102, 0.0416, 1.4047e-01, 0.1144, 0.0137, 5.0997e-02, 0.0959, 0.0128, 3.6711e-02, 0.0377, 0.0003, 1.6982e-02, 1.1312e+03, 1.26173, collision
4.70, 0.00, 0.1616, 0.1148, -9.0382e-03, 0.0933, 0.0877, -6.1538e-02, 0.0965, 0.0867, 2.4973e-02, 0.1913, 0.1566, 1.5697e-01, 0.0557, 0.0466, 4.3410e-02, 8.9908e+02, 0.97952, collision
4.60, 0.00, 0.1482, 0.0095, -6.6817e-02, 0.1628, 0.0030, 2.3804e-01, 0.0940, 0.0059, -1.0147e-01, 0.0620, 0.0106, 3.2806e-03, 0.0550, 0.0106, 1.3040e-02, 2.6037e+03, 2.84459, collision
4.67, 0.00, 0.0484, 0.0051, -1.4835e-02, 0.0467, 0.0069, -2.1630e-02, 0.0687, 0.0107, -2.9837e-02, 0.0447, 0.0127, 1.6393e-01, 0.0230, 0.0050, 4.5934e-03, 1.2631e+03, 1.35366, collision
4.83, 0.00, 0.0000, 1.0000, -9.3571e-02, 0.0000, 1.0000, 6.4338e-02, 0.0000, 1.0000, 9.9299e-02, 0.0000, 1.0000, 2.7578e-02, 0.0000, 1.0000, 7.0199e-03, 2.6286e+02, 0.28457, collision
4.52, 0.00, 0.1216, 0.0036, -3.4445e-02, 0.0662, 0.0058, 1.1122e-01, 0.0638, 0.0008, -4.6651e-02, 0.0439, 0.0024, -3.7702e-04, 0.0258, 0.0011, 1.2393e-02, 2.9744e+03, 3.18720, collision
4.09, 0.00, 0.0845, 0.0048, 8.4934e-02, 0.1395, 0.0108, -1.1227e-01, 0.1461, 0.0052, 4.1108e-01, 0.1182, 0.0068, -1.6517e-01, 0.1211, 0.0034, -9.0425e-02, 3.1455e+03, 3.42962, collision
4.45, 0.00, 0.0948, 0.0015, 1.4528e-02, 0.0846, 0.0014, -4.1071e-02, 0.1535, 0.0009, 1.6744e-01, 0.1446, 0.0028, -1.2257e-01, 0.0915, 0.0009, 3.9335e-02, 3.1002e+03, 3.37949, collision
4.81, 0.00, 0.0000, 1.0000, -1.0513e-02, 0.0000, 1.0000, -1.1522e-02, 0.0000, 1.0000, -2.0543e-02, 0.0000, 1.0000, 1.5290e-02, 0.0000, 1.0000, 1.1803e-01, 5.0352e+02, 0.54939, collision
4.88, 0.00, 0.0000, 1.0000, -1.5360e-02, 0.0000, 1.0000, -2.0722e-02, 0.0000, 1.0000, 7.7062e-02, 0.0000, 1.0000, 5.6189e-03, 0.0000, 1.0000, 4.3031e-03, 1.9326e+02, 0.24067, collision
4.76, 0.00, 0.0671, 0.0671, 1.1055e-01, 0.0532, 0.0532, -1.0980e-01, 0.0464, 0.0464, 2.1542e-02, 0.0130, 0.0130, 1.0662e-02, 0.0053, 0.0053, 1.6568e-03, 8.8078e+02, 0.93717, collision
4.74, 0.00, 0.1393, 0.1335, -8.0564e-03, 0.0963, 0.0170, 6.5082e-01, 0.1228, 0.0295, -2.6577e-01, 0.1570, 0.1325, 3.8958e-01, 0.1254, 0.0879, -2.2531e-01, 9.6026e+02, 1.05670, collision
4.79, 0.00, 0.0000, 1.0000, 1.9178e-01, 0.0000, 1.0000, -1.7241e-01, 0.0000, 1.0000, 2.6444e-02, 0.0000, 1.0000, -5.4187e-03, 0.0000, 1.0000, 2.0987e-02, 7.5672e+02, 0.81273, collision
4.11, 0.00, 0.1066, 0.0053, -2.2233e-02, 0.1029, 0.0039, -4.2447e-02, 0.0951, 0.0061, 1.0593e-01, 0.0741, 0.0040, 1.0891e-02, 0.0611, 0.0033, 1.3149e-02, 3.3621e+03, 3.64455, collision
4.12, 0.00, 0.0819, 0.0031, -4.0236e-03, 0.0828, 0.0026, -9.2534e-03, 0.0942, 0.0019, 3.1170e-01, 0.0723, 0.0063, -1.8624e-01, 0.0568, 0.0010, -4.3692e-03, 3.4047e+03, 3.67533, collision
4.82, 0.00, 0.0000, 1.0000, -7.6058e-02, 0.0000, 1.0000, 1.4065e-01, 0.0000, 1.0000, -1.8592e-02, 0.0000, 1.0000, 2.8955e-02, 0.0000, 1.0000, 1.0206e-02, 6.9689e+02, 0.75094, collision
4.86, 0.00, 0.0000, 1.0000, -1.1973e-01, 0.0000, 1.0000, 1.7545e-01, 0.0000, 1.0000, 3.1860e-01, 0.0000, 1.0000, -1.7657e-01, 0.0000, 1.0000, 1.8357e-02, 5.2328e+02, 0.55729, collision
4.16, 0.00, 0.0911, 0.0060, 1.2107e-01, 0.1833, 0.0037, -1.6533e-01, 0.1604, 0.0060, 3.3763e-02, 0.0869, 0.0018, 3.2265e-02, 0.0494, 0.0022, 9.1609e-02, 3.4468e+03, 3.71547, collision
