#delta_H, max e_m1, max e_m2, max e_m3, max e_m4, max e_m5, sim finish time (n Pmoon), wall_time
3.61, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 3.2818e+02, 0.70161
3.93, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0397e+02, 0.22748
3.76, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.8106e+01, 0.10420
4.02, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.4889e+01, 0.13847
3.94, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.9069e+01, 0.04173
3.62, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.3851e+01, 0.13403
3.63, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.5017e+01, 0.05335
3.64, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.1095e+01, 0.04477
3.65, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.4427e+02, 0.32211
3.66, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 3.5300e+01, 0.07569
3.67, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 3.9750e+01, 0.08712
4.03, 0.0901, 0.0488, 0.0336, 0.0457, 0.0345, 1.4978e+03, 3.29050
4.05, 0.0128, 0.0381, 0.0596, 0.0514, 0.0455, 1.9533e+03, 4.36156
4.13, 0.0374, 0.0499, 0.0476, 0.0424, 0.0463, 3.2537e+03, 6.98563
4.67, 0.0740, 0.0377, 0.0414, 0.0242, 0.0158, 1.8422e+03, 3.89821
4.68, 0.0400, 0.0316, 0.0226, 0.0128, 0.0093, 1.4257e+03, 3.01737
4.40, 0.0240, 0.0285, 0.0313, 0.0186, 0.0150, 4.9376e+03, 10.47083
4.31, 0.0668, 0.0358, 0.0328, 0.0533, 0.0635, 5.3710e+03, 11.51162
4.69, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 8.3986e+02, 1.77455
4.49, 0.0232, 0.0168, 0.0420, 0.0309, 0.0200, 5.9448e+03, 12.49108
4.70, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 8.1676e+02, 1.77977
4.71, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.5715e+02, 0.55927
4.72, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 3.0527e+02, 0.68868
4.73, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 9.3578e+02, 2.06569
4.58, 0.0375, 0.0282, 0.0332, 0.0295, 0.0224, 7.7209e+03, 16.75866
4.74, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 8.3881e+02, 1.80255
4.22, 0.1194, 0.1127, 0.1574, 0.0999, 0.1326, 9.2943e+03, 19.96671
4.75, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.3403e+02, 1.32949
4.59, 0.0134, 0.0057, 0.0626, 0.0100, 0.0363, 1.8634e+03, 3.94804
4.41, 0.0314, 0.0430, 0.0388, 0.0435, 0.0567, 5.7601e+03, 12.19769
4.76, 0.0370, 0.0433, 0.0564, 0.0368, 0.0367, 1.2674e+03, 2.66086
4.60, 0.0353, 0.0219, 0.0675, 0.0518, 0.0169, 1.1259e+03, 2.35388
4.06, 0.0634, 0.0642, 0.0577, 0.0612, 0.0485, 9.7168e+03, 20.89167
4.77, 0.0377, 0.0351, 0.0171, 0.0042, 0.0203, 1.4447e+03, 3.05605
4.32, 0.0267, 0.0333, 0.0499, 0.0398, 0.0324, 7.2980e+03, 15.67396
4.61, 0.0410, 0.1426, 0.0791, 0.0441, 0.0380, 2.0080e+03, 4.42204
4.07, 0.0472, 0.0497, 0.0585, 0.0303, 0.0215, 1.6578e+03, 3.68343
4.78, 0.0640, 0.0432, 0.0403, 0.0179, 0.0148, 1.4494e+03, 3.16699
4.14, 0.0507, 0.0709, 0.0721, 0.0725, 0.0451, 1.1392e+04, 24.56691
4.42, 0.0381, 0.0116, 0.0424, 0.0129, 0.0332, 4.4624e+03, 9.36576
