# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
4.83, 0.00, 0.0000, 1.0000, -1.0034e-01, 0.0000, 1.0000, 1.1733e-01, 0.0000, 1.0000, 5.1477e-02, 0.0000, 1.0000, 2.7916e-02, 0.0000, 1.0000, 6.3947e-03, 1.9586e+02, 0.09991, collision
4.66, 0.00, 0.0903, 0.0062, -3.1065e-02, 0.1811, 0.0095, -8.6839e-02, 0.1927, 0.0121, -1.4788e-01, 0.0715, 0.0054, 3.1571e-01, 0.0458, 0.0010, 6.6980e-01, 2.4661e+03, 1.25530, collision
4.34, 0.00, 0.0481, 0.0061, -1.5849e-02, 0.0679, 0.0033, 2.2251e-01, 0.0662, 0.0012, -1.5521e-01, 0.0537, 0.0007, 1.3433e-02, 0.0286, 0.0016, -1.2930e-03, 3.2293e+03, 1.62622, collision
4.30, 0.00, 0.1064, 0.0012, -4.3312e-02, 0.1099, 0.0014, -1.6526e-01, 0.0551, 0.0041, 5.4240e-01, 0.0587, 0.0010, 2.8533e-02, 0.0296, 0.0013, 3.3775e-03, 3.2697e+03, 1.65743, collision
4.67, 0.00, 0.0881, 0.0047, -4.3975e-02, 0.0931, 0.0043, 4.6476e-01, 0.0696, 0.0022, -2.3385e-01, 0.0513, 0.0027, -4.8480e-03, 0.0548, 0.0018, 1.8804e-02, 1.9656e+03, 1.02960, collision
4.85, 0.00, 0.0000, 1.0000, -1.4888e-02, 0.0000, 1.0000, 2.5053e-03, 0.0000, 1.0000, 5.0644e-01, 0.0000, 1.0000, -2.6539e-01, 0.0000, 1.0000, 4.1346e-02, 2.9649e+02, 0.14926, collision
4.08, 0.00, 0.0686, 0.0011, -8.4380e-03, 0.0791, 0.0062, -2.9738e-03, 0.1025, 0.0038, 2.4189e-02, 0.0789, 0.0047, 2.0090e-02, 0.0730, 0.0027, 1.5683e-02, 3.2868e+03, 1.68091, collision
4.70, 0.00, 0.1346, 0.0129, -1.4256e-01, 0.1131, 0.0051, 2.0681e-01, 0.0996, 0.0475, 1.0327e-01, 0.0676, 0.0178, -1.3927e-02, 0.0429, 0.0092, -2.9090e-03, 1.2961e+03, 0.66213, collision
4.88, 0.00, 0.0000, 1.0000, 1.8828e-01, 0.0000, 1.0000, -1.7310e-01, 0.0000, 1.0000, 3.7431e-02, 0.0000, 1.0000, 4.1001e-03, 0.0000, 1.0000, 6.0204e-03, 3.1485e+02, 0.15689, collision
4.79, 0.00, 0.0000, 1.0000, -6.3216e-02, 0.0000, 1.0000, 2.7783e-01, 0.0000, 1.0000, -1.5652e-01, 0.0000, 1.0000, 5.5112e-02, 0.0000, 1.0000, 1.3859e-02, 7.8139e+02, 0.38804, collision
4.76, 0.00, 0.0900, 0.0384, -2.6302e-02, 0.1155, 0.0279, 7.1774e-02, 0.1292, 0.0230, -1.7231e-02, 0.0469, 0.0065, 2.1069e-02, 0.0344, 0.0255, 1.0143e-02, 1.1629e+03, 0.58190, collision
4.80, 0.00, 0.0000, 1.0000, -8.7124e-02, 0.0000, 1.0000, 6.8821e-02, 0.0000, 1.0000, 1.9820e-01, 0.0000, 1.0000, -5.9798e-02, 0.0000, 1.0000, 1.7199e-03, 6.9800e+02, 0.36029, collision
4.12, 0.00, 0.0920, 0.0005, -6.1363e-02, 0.0902, 0.0023, -9.1907e-02, 0.0725, 0.0031, 3.2177e-01, 0.1000, 0.0051, 2.1579e-02, 0.0694, 0.0041, 6.8831e-04, 3.4656e+03, 1.76620, collision
4.84, 0.00, 0.0000, 1.0000, -2.9535e-02, 0.0000, 1.0000, -1.6130e-01, 0.0000, 1.0000, 7.1679e-01, 0.0000, 1.0000, 1.8547e-03, 0.0000, 1.0000, 1.2210e-02, 5.5958e+02, 0.28042, collision
4.40, 0.00, 0.1021, 0.0042, 1.1507e-01, 0.0983, 0.0034, -1.4200e-01, 0.0766, 0.0023, 3.0630e-01, 0.1155, 0.0022, -1.6140e-01, 0.0539, 0.0008, -1.1594e-02, 3.5307e+03, 1.78098, collision
4.45, 0.00, 0.0460, 0.0015, 6.9245e-04, 0.0634, 0.0012, 2.2495e-01, 0.0907, 0.0024, -1.7384e-01, 0.0491, 0.0020, 2.5827e-02, 0.0440, 0.0023, 1.3010e-03, 3.7321e+03, 1.87672, collision
4.81, 0.00, 0.1339, 0.0114, -1.7769e-02, 0.0861, 0.0100, -1.8446e-02, 0.1146, 0.0527, -8.0733e-03, 0.1714, 0.0278, -8.0458e-02, 0.0398, 0.0178, 3.6085e-01, 1.0693e+03, 0.53435, collision
