# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
5.65, 0.00, 0.0294, 0.0000, -2.1294e-04, 0.0924, 0.0001, 8.1007e-02, 1.0000e+07, 2686.09550, tmax
4.32, 0.00, 0.0245, 0.0000, 1.8758e-04, 0.0783, 0.0000, 7.9938e-02, 1.0000e+07, 2777.61584, tmax
5.23, 0.00, 0.0271, 0.0000, -4.1830e-05, 0.0875, 0.0000, 8.4903e-02, 1.0000e+07, 2686.26482, tmax
8.98, 0.00, 0.0001, 0.0001, -1.1257e-05, 59497.2548, 1.0000, -1.0020e+00, 8.5381e+02, 0.22735, a<0
5.42, 0.00, 0.0280, 0.0000, 6.5545e-04, 0.0895, 0.0001, 9.6986e-02, 1.0000e+07, 2698.87232, tmax
6.78, 0.00, 0.0321, 0.0000, 4.5853e-05, 0.1102, 0.0001, -6.8162e-03, 1.0000e+07, 2742.71360, tmax
6.40, 0.00, 0.0446, 0.0000, -7.5075e-05, 0.1024, 0.0001, 8.4346e-02, 1.0000e+07, 2704.59588, tmax
7.37, 0.00, 0.0050, 0.0000, -1.6519e-05, 0.1250, 0.0002, 7.5844e-03, 1.0000e+07, 2727.87014, tmax
7.21, 0.00, 0.0081, 0.0000, -4.2446e-05, 0.1202, 0.0002, 9.3991e-02, 1.0000e+07, 2709.77969, tmax
4.44, 0.00, 0.0248, 0.0000, -2.1027e-04, 0.0794, 0.0001, 5.1697e-03, 1.0000e+07, 2730.13154, tmax
4.52, 0.00, 0.0249, 0.0000, -1.0532e-03, 0.0802, 0.0000, 3.0990e-02, 1.0000e+07, 2793.14956, tmax
4.10, 0.00, 0.0238, 0.0000, -6.9798e-05, 0.0761, 0.0000, 9.9804e-04, 1.0000e+07, 2792.27744, tmax
6.23, 0.00, 0.0387, 0.0000, -2.0481e-04, 0.1002, 0.0001, 7.3214e-02, 1.0000e+07, 2817.63957, tmax
7.49, 0.00, 0.0035, 0.0000, 3.7994e-05, 0.1288, 0.0000, 1.3223e-01, 1.0000e+07, 2682.32948, tmax
7.84, 0.00, 0.0012, 0.0000, -3.2559e-05, 0.1435, 0.0001, 5.5819e-02, 1.0000e+07, 2803.81311, tmax
