5.46, 0.4537, 0.3322, 7.1256e+05, 549.11841
5.28, 0.3388, 0.3628, 8.5720e+05, 685.36336
5.54, 0.5474, 0.5596, 2.4200e+06, 1458.40641
5.72, 0.2470, 0.2035, 2.5595e+06, 1480.64426
5.38, 0.2619, 0.2634, 1.9409e+06, 1220.20500
5.62, 0.4784, 114570.1743, 3.3330e+06, 1912.97579
5.47, 0.4885, 17508.7595, 7.7200e+05, 592.38327
5.82, 0.6493, 0.6759, 2.0190e+06, 1287.76898
5.55, 0.2843, 0.2945, 9.1149e+05, 678.92409
5.73, 0.4061, 0.5870, 1.0590e+06, 754.16042
5.29, 0.5033, 276.6220, 1.6940e+06, 1131.16414
5.39, 0.3363, 0.2896, 1.7618e+06, 1122.43311
5.48, 0.6939, 0.7382, 1.8940e+06, 1204.41164
5.63, 0.4735, 0.8298, 1.8850e+06, 1267.93799
5.83, 0.6459, 0.6152, 1.8096e+06, 1149.61985
5.74, 0.3895, 0.3656, 1.7155e+06, 1171.93583
6.00, 0.5918, 33834.5118, 1.5720e+06, 1012.24895
5.56, 0.5631, 0.4228, 2.4358e+06, 1444.17767
5.64, 0.6604, 0.4772, 8.8800e+05, 646.49617
6.10, 0.6466, 96679.1167, 2.1030e+06, 1283.34341
5.91, 0.3110, 0.2514, 6.0276e+06, 3056.07791
5.49, 0.3330, 0.2675, 1.9112e+06, 1194.81096
5.84, 0.4108, 6593.3988, 1.8230e+06, 1170.71946
5.75, 0.5846, 0.4088, 1.5249e+06, 1067.93213
5.57, 0.5263, 0.6142, 1.3718e+06, 988.95269
6.01, 0.5046, 0.6774, 1.8830e+06, 1201.73898
5.65, 0.3795, 0.3406, 1.4704e+06, 1040.05756
5.58, 0.4434, 4019.2826, 9.9900e+05, 732.46071
5.76, 0.4819, 0.6144, 1.2095e+06, 865.61827
5.85, 0.3916, 0.2482, 1.9068e+06, 1192.46283
6.20, 0.5187, 0.8067, 2.4099e+06, 1429.84858
5.66, 0.3481, 0.3514, 1.3386e+06, 953.19785
5.77, 0.7086, 0.4139, 1.2150e+06, 841.98052
5.59, 0.4637, 2.1404, 1.3800e+06, 964.54730
5.92, 0.3655, 0.2464, 3.9997e+06, 2103.89536
6.02, 0.5855, 20754.4732, 3.4420e+06, 1896.37148
5.86, 0.6733, 0.7604, 1.8520e+06, 1259.60174
6.11, 0.5772, 9264.6493, 5.2500e+06, 2624.88732
5.67, 0.6347, 0.7778, 1.9090e+06, 1225.16869
6.21, 0.3529, 0.3065, 2.5015e+06, 1469.88861
5.78, 0.7077, 0.5356, 1.8030e+06, 1156.93011
5.68, 0.5786, 144434.9598, 1.1970e+06, 837.85242
6.03, 0.5277, 0.7198, 1.9782e+06, 1239.68277
5.93, 0.6917, 35939.4602, 2.6560e+06, 1561.50357
5.87, 0.6243, 22314.7620, 1.9880e+06, 1272.89761
6.12, 0.6838, 0.6206, 2.0134e+06, 1233.74648
6.30, 0.6546, 0.7190, 4.9940e+06, 2565.32133
5.79, 0.5777, 0.6093, 2.2600e+06, 1473.44642
5.69, 0.5995, 0.7433, 1.6976e+06, 1175.21402
6.22, 0.6491, 65.4787, 3.5580e+06, 1972.51969
5.88, 1.2163, 0.6625, 1.8120e+06, 1176.41162
5.94, 0.3891, 0.5323, 2.2336e+06, 1371.21161
6.04, 0.4456, 0.5016, 2.5474e+06, 1525.81582
6.13, 0.4680, 0.7854, 2.2860e+06, 1383.57426
5.89, 0.4601, 0.4754, 1.6776e+06, 1117.65031
5.95, 0.5390, 66927.7811, 1.8310e+06, 1166.61284
6.40, 0.5927, 0.6595, 2.7150e+06, 1616.40008
6.31, 11651.7030, 0.6269, 3.1220e+06, 1741.76408
6.23, 0.8467, 0.7280, 3.1140e+06, 1718.37011
6.05, 0.4935, 0.8121, 3.4597e+06, 1842.52734
5.96, 0.4724, 0.5649, 2.2984e+06, 1265.67890
6.14, 5.5886, 0.3359, 4.7610e+06, 2371.74624
6.32, 0.4773, 17594.4445, 3.2080e+06, 1620.20365
6.06, 0.5452, 10467.4533, 1.7810e+06, 1019.46656
6.41, 0.7206, 0.7753, 4.0260e+06, 2073.04851
5.97, 0.5933, 0.5564, 1.6410e+06, 968.45711
6.50, 0.2031, 0.2036, 1.0001e+07, 4023.09027
6.15, 0.3954, 0.3341, 2.6838e+06, 1433.90153
6.24, 0.2593, 0.4058, 5.5339e+06, 2481.68555
6.07, 0.6299, 16271.5059, 2.1090e+06, 1193.52593
