# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
4.60, 0.00, 0.4211, 0.0006, 3.5011e+00, 0.6951, 0.0008, -9.1914e-01, 2.8321e+05, 141.12100, collision
7.03, 0.00, 0.2456, 0.0006, 1.2744e+00, 0.2441, 0.0003, 3.8816e-02, 1.0000e+07, 2214.08837, tmax
4.08, 0.00, 0.2834, 0.0004, 8.5339e-01, 0.2756, 0.0008, 7.5577e-01, 2.7133e+05, 132.76016, collision
3.98, 0.00, 0.3277, 0.0005, 1.7436e+00, 0.2670, 0.0004, -1.2662e-01, 2.2939e+05, 116.04205, collision
3.62, 0.00, 0.6090, 0.0006, -1.8071e-01, 0.7677, 0.0007, 2.2331e+00, 1.5478e+05, 87.71136, d<R_roche
7.93, 0.00, 0.0479, 0.0000, 1.2554e+00, 0.1421, 0.0003, 7.3724e-02, 1.0000e+07, 2099.86185, tmax
8.00, 0.00, 0.0259, 0.0001, 1.2546e+00, 0.1455, 0.0003, 1.2546e-01, 1.0000e+07, 2094.56061, tmax
6.90, 0.00, 0.0865, 0.0015, 1.2467e+00, 0.1288, 0.0004, 7.9826e-02, 1.0000e+07, 2145.08166, tmax
3.80, 0.00, 0.4617, 0.0003, -2.3431e-01, 0.8341, 0.0015, -1.5719e+00, 1.5825e+05, 85.22435, collision
8.65, 0.00, 0.0002, 0.0002, 2.2349e-03, 0.0631, 0.0631, 1.3692e-01, 8.5381e+02, 0.50420, a>0.4R_H
5.28, 0.00, 0.5578, 0.0002, -2.2025e-01, 0.3574, 0.0001, -7.9897e+01, 8.1170e+05, 322.15098, d<R_roche
5.02, 0.00, 0.4042, 0.0003, 2.5554e-01, 0.2975, 0.0003, -2.2361e+00, 3.7821e+05, 171.98634, collision
5.21, 0.00, 0.3544, 0.0001, -4.9758e+00, 0.3840, 0.0003, -5.5713e-01, 1.1491e+06, 399.30252, collision
4.93, 0.00, 0.6055, 0.0002, -7.7468e-02, 0.7801, 0.0008, 2.4965e+00, 2.8760e+05, 132.88226, d<R_roche
3.83, 0.00, 0.2906, 0.0005, 4.2629e+01, 0.3087, 0.0005, -4.5405e-01, 2.1921e+05, 114.96814, collision
4.06, 0.00, 0.3008, 0.0005, 2.4713e+00, 0.2681, 0.0005, 2.7030e-02, 2.6764e+05, 131.86784, collision
5.43, 0.00, 0.4282, 0.0007, 3.9413e+00, 0.5312, 0.0003, -5.7958e+00, 8.2545e+05, 314.55225, collision
4.96, 0.00, 0.6099, 0.0004, -5.0357e-01, 0.7287, 0.0005, 8.7961e-01, 3.4289e+05, 159.81285, d<R_roche
