# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
4.48, 0.00, 0.1308, 0.0011, -4.5578e-01, 0.3038, 0.0044, 1.5291e-01, 0.2627, 0.0041, -1.5805e+00, 0.1522, 0.0016, 3.8424e-01, 0.1105, 0.0010, -9.8546e-02, 3.9405e+03, 4.31374, collision
4.78, 0.00, 0.0931, 0.0137, 9.8493e-04, 0.0779, 0.0096, -9.9441e-03, 0.0591, 0.0155, -3.5105e-02, 0.1275, 0.0055, 2.2091e-01, 0.0808, 0.0042, -7.9394e-02, 1.4941e+03, 1.60116, collision
4.40, 0.00, 0.0731, 0.0011, -8.3085e-03, 0.0811, 0.0037, -7.1957e-03, 0.0932, 0.0018, 9.7592e-02, 0.0569, 0.0014, -4.5649e-02, 0.0603, 0.0017, -1.2929e-03, 4.3110e+03, 4.65047, collision
4.56, 0.00, 0.0372, 0.0011, -7.9902e-03, 0.0328, 0.0010, 2.6270e-01, 0.0543, 0.0004, -2.0322e-01, 0.0895, 0.0024, 4.4252e-02, 0.0365, 0.0012, 1.7138e-02, 4.2879e+03, 4.60002, collision
4.77, 0.00, 0.0980, 0.0045, 2.2659e-01, 0.1294, 0.0036, -2.0017e-01, 0.1010, 0.0073, 1.3152e-02, 0.1006, 0.0097, 6.3469e-02, 0.0353, 0.0064, 3.6500e-03, 1.6519e+03, 1.81125, collision
4.81, 0.00, 0.1379, 0.0195, -6.2668e-02, 0.1060, 0.0208, 4.8975e-02, 0.0950, 0.0008, 4.2889e-02, 0.0586, 0.0068, 2.2284e-02, 0.0771, 0.0184, 2.0485e-02, 1.6368e+03, 1.77691, collision
4.55, 0.00, 0.0348, 0.0006, -1.1016e-02, 0.0834, 0.0003, 1.7463e-03, 0.1058, 0.0006, -2.0505e-02, 0.6522, 0.0003, 1.6203e-01, 1.0605, 0.0004, -1.2243e+01, 4.4740e+03, 4.80745, a<0
4.47, 0.00, 0.1348, 0.0009, -1.5402e-02, 0.0966, 0.0035, -3.8450e-03, 0.0504, 0.0020, 1.2102e-01, 0.1063, 0.0011, -7.7846e-02, 0.0512, 0.0015, 1.6337e-02, 4.4995e+03, 4.85501, collision
4.58, 0.00, 0.1066, 0.0018, -8.1574e-02, 0.0802, 0.0010, 5.8829e-02, 0.0323, 0.0017, 1.0127e-01, 0.0339, 0.0008, 7.7342e-03, 0.0233, 0.0008, 2.4369e-03, 4.4858e+03, 4.81645, collision
4.25, 0.00, 0.0655, 0.0023, -5.8033e-03, 0.0603, 0.0053, -2.9700e-03, 0.0958, 0.0013, 1.1236e-01, 0.1050, 0.0034, -8.1671e-02, 0.0376, 0.0030, 2.3456e-02, 4.8460e+03, 5.21166, collision
