# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
9.29, 0.00, 0.0104, 0.0000, 1.8968e-01, 0.0181, 0.0000, 1.0902e-03, 0.1214, 0.0004, -1.0117e-03, 1.0000e+07, 6074.29696, tmax
8.76, 0.00, 0.1115, 0.0000, 1.8738e-01, 0.1098, 0.0000, 2.2207e-02, 0.0747, 0.0001, 4.1877e-02, 1.0000e+07, 6079.53146, tmax
10.84, 0.00, 0.0036, 0.0036, 2.3734e-03, 0.0020, 0.0020, 7.5741e-04, 176037.8636, 1.0000, -1.0009e+00, 8.5381e+02, 0.60302, a<0
9.50, 0.00, 0.0061, 0.0000, 1.8982e-01, 0.0162, 0.0000, 3.0086e-03, 0.1565, 0.0001, 5.2173e-02, 1.0000e+07, 6083.38676, tmax
7.85, 0.00, 0.0461, 0.0000, 1.8829e-01, 0.0578, 0.0000, 4.5658e-03, 0.0594, 0.0000, 8.0850e-03, 1.0000e+07, 6093.12830, tmax
7.51, 0.00, 0.0601, 0.0000, 1.8923e-01, 0.0502, 0.0000, 2.7713e-03, 0.0393, 0.0000, 6.3033e-03, 1.0000e+07, 6093.56316, tmax
7.73, 0.00, 0.0305, 0.0000, 1.8914e-01, 0.0320, 0.0000, 1.1088e-02, 0.0445, 0.0000, 2.8147e-02, 1.0000e+07, 6093.69811, tmax
8.96, 0.00, 0.0067, 0.0000, 1.9033e-01, 0.0165, 0.0000, -2.2559e-03, 0.0882, 0.0001, 1.6678e-02, 1.0000e+07, 6103.59005, tmax
8.71, 0.00, 0.2563, 0.0000, 1.9055e-01, 0.2308, 0.0000, 7.9575e-03, 0.0722, 0.0001, 1.1238e-02, 1.0000e+07, 6104.62295, tmax
10.64, 0.00, 0.0003, 0.0003, -2.5675e-05, 0.0125, 0.0125, 2.2778e-03, 231668.1524, 1.0000, -1.0008e+00, 8.5381e+02, 0.60620, a<0
10.47, 0.00, 0.0403, 0.0403, -4.4550e-02, 0.0245, 0.0245, -1.8298e-02, 13351.3771, 1.0000, -1.0056e+00, 8.5381e+02, 0.65277, a<0
10.49, 0.00, 0.0002, 0.0002, 5.1468e-05, 0.0114, 0.0114, 1.5828e-02, 144750.6151, 1.0000, -1.0011e+00, 8.5381e+02, 0.62386, a<0
9.12, 0.00, 0.0056, 0.0000, 1.8941e-01, 0.0159, 0.0000, 9.1350e-03, 0.1019, 0.0001, 2.7397e-02, 1.0000e+07, 6112.81268, tmax
8.03, 0.00, 0.0744, 0.0000, 1.8899e-01, 0.0709, 0.0000, 1.0219e-02, 0.0512, 0.0000, 1.2312e-02, 1.0000e+07, 6117.21213, tmax
8.23, 0.00, 0.1490, 0.0000, 1.8928e-01, 0.1378, 0.0000, 2.3633e-02, 0.0869, 0.0001, 6.8563e-03, 1.0000e+07, 6121.54828, tmax
8.80, 0.00, 0.0106, 0.0000, 1.8953e-01, 0.0193, 0.0000, 2.7053e-03, 0.0769, 0.0002, 3.1088e-02, 1.0000e+07, 6123.06869, tmax
8.63, 0.00, 0.1931, 0.0000, 1.9133e-01, 0.1701, 0.0000, 9.6901e-03, 0.0768, 0.0000, 1.1445e-02, 1.0000e+07, 6151.49474, tmax
8.69, 0.00, 0.4088, 0.0000, 1.9309e-01, 0.3290, 0.0000, 9.1902e-03, 0.1405, 0.0000, 3.0269e-02, 1.0000e+07, 6154.36032, tmax
10.54, 0.00, 0.0003, 0.0003, 1.7147e-05, 0.0078, 0.0078, -2.1355e-03, 192044.1818, 1.0000, -1.0009e+00, 8.5381e+02, 0.60230, a<0
4.53, 0.00, 0.3001, 0.0001, -3.1741e-02, 0.3926, 0.0001, 3.9341e+00, 0.2382, 0.0001, -3.6973e-01, 2.1505e+06, 1501.72933, collision
6.86, 0.00, 0.1768, 0.0000, 1.9082e-01, 0.1654, 0.0000, 2.3646e-02, 0.1431, 0.0001, 1.5294e-02, 1.0000e+07, 6200.75310, tmax
5.81, 0.00, 0.1488, 0.0000, 1.8171e-01, 0.1351, 0.0000, 3.2853e-02, 0.0913, 0.0000, 1.5398e-03, 1.0000e+07, 6209.42926, tmax
7.37, 0.00, 0.0827, 0.0000, 1.8580e-01, 0.1258, 0.0000, 2.6628e-02, 0.0458, 0.0000, 1.4066e-02, 1.0000e+07, 6119.65857, tmax
5.93, 0.00, 0.1580, 0.0000, 1.8444e-01, 0.1439, 0.0000, 2.4193e-02, 0.1141, 0.0000, 9.5963e-03, 1.0000e+07, 6237.06209, tmax
9.88, 0.00, 0.0004, 0.0004, -6.8597e-05, 0.0091, 0.0028, 4.5861e-03, 0.1137, 0.1125, 8.6173e-02, 8.8797e+02, 0.62761, a>0.4R_H
8.98, 0.00, 0.0048, 0.0000, 1.9019e-01, 0.0157, 0.0000, -1.8202e-03, 0.0893, 0.0001, 1.7280e-02, 1.0000e+07, 6092.87035, tmax
5.63, 0.00, 0.1150, 0.0000, 1.9365e-01, 0.1076, 0.0000, 2.0968e-02, 0.0912, 0.0000, -1.4502e-03, 1.0000e+07, 6257.14313, tmax
3.65, 0.00, 0.0000, 1.0000, 6.7760e-01, 0.0000, 1.0000, -4.5103e-01, 0.0000, 1.0000, 2.7551e+00, 3.7603e+02, 0.31004, collision
6.72, 0.00, 0.1796, 0.0000, 1.9398e-01, 0.1480, 0.0000, 9.7229e-03, 0.1035, 0.0001, 1.5136e-02, 1.0000e+07, 6258.13176, tmax
4.91, 0.00, 0.2649, 0.0001, 9.6451e-01, 0.2510, 0.0001, -3.3447e-01, 0.1834, 0.0000, 7.8717e-02, 3.7986e+06, 2557.10742, collision
4.19, 0.00, 0.3724, 0.0010, -1.8089e-01, 0.3686, 0.0007, 7.7734e-01, 0.3095, 0.0007, 2.0063e-01, 1.8259e+05, 135.14309, collision
8.51, 0.00, 0.6783, 0.0000, 9.4907e-02, 0.6465, 0.0000, 3.3258e-01, 0.2820, 0.0000, 4.6574e-02, 9.7443e+06, 6296.76494, d<R_roche
8.58, 0.00, 0.3837, 0.0000, 2.1426e-01, 0.3051, 0.0000, -3.8780e-03, 0.1526, 0.0001, 5.6981e-03, 1.0000e+07, 6301.44356, tmax
10.75, 0.00, 0.0002, 0.0002, 6.3743e-06, 0.0145, 0.0145, -7.7856e-03, 195575.9730, 1.0000, -1.0008e+00, 8.5381e+02, 0.60293, a<0
4.13, 0.00, 0.2380, 0.0031, 9.9295e-02, 0.2232, 0.0013, -7.3311e-03, 0.2192, 0.0014, 5.4474e-02, 9.2787e+04, 69.65626, collision
3.66, 0.00, 0.0000, 1.0000, 1.2127e-01, 0.0000, 1.0000, -1.4517e-01, 0.0000, 1.0000, 2.7558e-01, 1.0978e+02, 0.09172, collision
9.79, 0.00, 0.0023, 0.0000, 1.0744e-02, 0.0163, 0.0000, 1.6835e-02, 0.2405, 0.0028, 1.0557e-01, 3.4986e+05, 245.05276, a>0.4R_H
5.33, 0.00, 0.2309, 0.0000, 1.0235e+00, 0.2499, 0.0000, -3.6242e-01, 0.1175, 0.0000, 5.1050e-02, 5.9099e+06, 3861.29046, collision
8.42, 0.00, 0.2360, 0.0000, 2.0375e-01, 0.2147, 0.0000, -4.0365e-03, 0.1020, 0.0001, 1.4457e-02, 1.0000e+07, 6324.42099, tmax
8.13, 0.00, 0.2132, 0.0000, 2.0151e-01, 0.1970, 0.0000, 1.9659e-02, 0.1417, 0.0000, 3.5870e-02, 1.0000e+07, 6347.60928, tmax
4.25, 0.00, 0.2218, 0.0008, 5.2205e-03, 0.2226, 0.0005, 1.0764e-01, 0.2025, 0.0002, 9.4356e-02, 3.1053e+05, 227.31446, collision
3.98, 0.00, 0.2559, 0.0011, 5.6891e-01, 0.3894, 0.0023, -3.3670e-01, 0.1871, 0.0013, 1.6773e-01, 1.2255e+05, 95.20341, collision
8.10, 0.00, 0.2866, 0.0000, 2.1031e-01, 0.2099, 0.0000, 1.2701e-03, 0.1649, 0.0000, 1.0769e-02, 1.0000e+07, 6430.92207, tmax
5.94, 0.00, 0.5881, 0.0000, -9.5878e-02, 0.5016, 0.0000, 4.8973e-01, 0.4738, 0.0000, 2.9677e-01, 5.6369e+06, 3685.54279, d<R_roche
10.25, 0.00, 0.0011, 0.0011, -8.2873e-05, 0.0263, 0.0263, 1.5577e-02, 0.2577, 0.2577, 1.0318e-01, 8.5381e+02, 0.60254, a>0.4R_H
5.31, 0.00, 0.3055, 0.0001, 1.1480e+00, 0.3071, 0.0000, -4.3745e-01, 0.1787, 0.0001, 1.2683e-01, 1.0401e+06, 733.68715, collision
5.24, 0.00, 0.2705, 0.0001, -6.1473e-02, 0.2966, 0.0001, 2.6424e-01, 0.4019, 0.0000, 3.0293e-01, 3.7242e+05, 269.19020, collision
7.90, 0.00, 0.3282, 0.0000, 2.4485e-01, 0.2789, 0.0000, -2.6054e-02, 0.1772, 0.0001, 9.2392e-03, 1.0000e+07, 6572.44441, tmax
10.16, 0.00, 0.0002, 0.0002, 1.9432e-05, 0.0132, 0.0132, -8.9868e-04, 0.0951, 0.0951, 9.9162e-02, 8.5381e+02, 0.60334, a>0.4R_H
10.48, 0.00, 0.0003, 0.0003, -7.4903e-05, 0.0049, 0.0049, 8.4022e-03, 225787.1877, 1.0000, -1.0009e+00, 8.5381e+02, 0.60366, a<0
10.51, 0.00, 0.0003, 0.0003, -2.6687e-05, 0.0068, 0.0068, 1.3637e-03, 161578.6047, 1.0000, -1.0010e+00, 8.5381e+02, 0.60148, a<0
4.29, 0.00, 0.3994, 0.0001, -1.7373e-01, 0.4457, 0.0005, 1.6512e+00, 0.3054, 0.0003, 3.4531e-01, 6.9597e+05, 502.40132, collision
4.41, 0.00, 0.5427, 0.0005, -2.4701e-01, 0.5487, 0.0003, 1.2084e+00, 0.5497, 0.0002, 7.9518e-02, 8.1246e+05, 584.76033, d<R_roche
5.60, 0.00, 0.3078, 0.0000, -1.7513e-02, 0.4204, 0.0000, 6.7955e+00, 0.5189, 0.0000, -4.8926e-01, 2.7507e+06, 1878.69000, collision
6.06, 0.00, 0.5063, 0.0000, -1.0407e-01, 0.4034, 0.0000, 1.3687e+00, 0.2238, 0.0000, 3.0579e-01, 5.6383e+06, 3652.86874, collision
9.46, 0.00, 0.0044, 0.0000, 1.8991e-01, 0.0160, 0.0000, -1.3161e-03, 0.1481, 0.0002, 5.7926e-04, 1.0000e+07, 6071.53302, tmax
4.26, 0.00, 0.2434, 0.0007, 3.2019e-01, 0.2168, 0.0002, -1.8221e-01, 0.1554, 0.0001, 1.5671e-02, 3.6250e+05, 263.08607, collision
6.73, 0.00, 0.5208, 0.0000, -5.8869e-02, 0.5369, 0.0000, 4.1604e-01, 0.5389, 0.0000, 3.6890e-01, 5.1125e+06, 3466.51353, d<R_roche
4.55, 0.00, 0.2864, 0.0001, 4.2005e-02, 0.5476, 0.0001, 2.4711e-01, 0.2031, 0.0000, 1.5838e-01, 1.7244e+06, 1212.62632, collision
10.86, 0.00, 0.6786, 0.6786, -5.3442e-02, 110659.9101, 1.0000, -1.0051e+00, 0.0000, 1.0000, -7.4654e-01, 8.5381e+02, 0.73308, a<0
4.65, 0.00, 0.3701, 0.0002, -2.6700e-01, 0.7540, 0.0000, 1.3363e+00, 0.5673, 0.0000, 3.5042e-01, 2.0992e+06, 1457.52989, d<R_roche
5.88, 0.00, 0.0758, 0.0000, 1.8624e-01, 0.0751, 0.0000, 1.2471e-02, 0.0634, 0.0000, 9.5668e-04, 1.0000e+07, 6210.46152, tmax
