# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
4.91, 0.00, 0.0225, 0.0003, 3.5629e-02, 0.0852, 0.0005, 1.2336e-02, 1.0000e+05, 56.97308, tmax
5.03, 0.00, 0.0213, 0.0001, 3.5372e-02, 0.0839, 0.0003, 4.1189e-02, 1.0000e+05, 56.70981, tmax
4.99, 0.00, 0.0216, 0.0001, 3.6109e-02, 0.0834, 0.0007, 4.2894e-03, 1.0000e+05, 56.82456, tmax
5.00, 0.00, 0.0215, 0.0000, 3.5917e-02, 0.0840, 0.0008, 1.1121e-02, 1.0000e+05, 56.83937, tmax
5.01, 0.00, 0.0215, 0.0003, 3.5987e-02, 0.0842, 0.0009, 7.5483e-02, 1.0000e+05, 56.87748, tmax
4.88, 0.00, 0.0219, 0.0001, 3.5969e-02, 0.0837, 0.0006, 3.6447e-03, 1.0000e+05, 57.22904, tmax
5.05, 0.00, 0.0214, 0.0003, 3.5374e-02, 0.0844, 0.0005, 4.8055e-02, 1.0000e+05, 56.67741, tmax
5.07, 0.00, 0.0212, 0.0002, 3.6722e-02, 0.0847, 0.0012, -9.9465e-03, 1.0000e+05, 56.67509, tmax
5.10, 0.00, 0.0209, 0.0001, 3.7294e-02, 0.0853, 0.0007, 9.2720e-02, 1.0000e+05, 56.64783, tmax
5.08, 0.00, 0.0214, 0.0001, 3.6844e-02, 0.0848, 0.0010, -1.1779e-02, 1.0000e+05, 56.68321, tmax
5.09, 0.00, 0.0214, 0.0002, 3.5957e-02, 0.0852, 0.0003, 1.5509e-02, 1.0000e+05, 56.67501, tmax
5.04, 0.00, 0.0214, 0.0003, 3.6164e-02, 0.0847, 0.0006, 7.8420e-02, 1.0000e+05, 56.82846, tmax
5.12, 0.00, 0.0210, 0.0001, 3.6677e-02, 0.0849, 0.0010, -9.1423e-03, 1.0000e+05, 56.64738, tmax
5.06, 0.00, 0.0213, 0.0001, 3.5382e-02, 0.0849, 0.0008, 4.3981e-02, 1.0000e+05, 56.78176, tmax
5.15, 0.00, 0.0210, 0.0001, 3.6490e-02, 0.0845, 0.0010, 8.6712e-02, 1.0000e+05, 56.54760, tmax
5.14, 0.00, 0.0209, 0.0003, 3.6012e-02, 0.0851, 0.0007, 1.4041e-02, 1.0000e+05, 56.58412, tmax
5.11, 0.00, 0.0211, 0.0002, 3.6066e-02, 0.0840, 0.0007, 1.0676e-02, 1.0000e+05, 56.83546, tmax
5.13, 0.00, 0.0210, 0.0001, 3.6827e-02, 0.0851, 0.0011, -1.1655e-02, 1.0000e+05, 56.65221, tmax
5.16, 0.00, 0.0209, 0.0001, 3.5676e-02, 0.0864, 0.0015, 2.9806e-02, 1.0000e+05, 56.83965, tmax
5.18, 0.00, 0.0210, 0.0001, 3.6625e-02, 0.0865, 0.0005, -4.8041e-03, 1.0000e+05, 56.67356, tmax
5.17, 0.00, 0.0205, 0.0003, 3.6775e-02, 0.0853, 0.0007, -9.2215e-03, 1.0000e+05, 56.79700, tmax
5.19, 0.00, 0.0210, 0.0001, 3.5702e-02, 0.0851, 0.0005, 6.3808e-02, 1.0000e+05, 56.64531, tmax
5.20, 0.00, 0.0206, 0.0002, 3.5666e-02, 0.0863, 0.0002, 4.0338e-02, 1.0000e+05, 56.69564, tmax
5.22, 0.00, 0.0207, 0.0000, 3.5768e-02, 0.0860, 0.0004, 3.3344e-02, 1.0000e+05, 56.69696, tmax
