# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
4.19, 0.00, 0.3062, 0.0000, 2.1457e-01, 0.2715, 0.0002, -9.3376e+00, 2.2366e+06, 1062.82372, collision
6.19, 0.00, 0.0446, 0.0003, 6.7938e-01, 0.0993, 0.0001, 4.1947e-05, 1.0000e+07, 3236.08875, tmax
8.11, 0.00, 0.0121, 0.0001, 6.9252e-01, 0.1582, 0.0002, -1.6818e-04, 1.0000e+07, 3202.99909, tmax
5.32, 0.00, 0.4458, 0.0002, -5.2150e+00, 0.7936, 0.0001, -5.6708e-01, 3.4167e+06, 1454.52544, collision
4.85, 0.00, 0.6362, 0.0000, -1.2632e-01, 33934.7398, 0.0002, -1.0185e+00, 2.0033e+06, 955.53783, a<0
8.69, 0.00, 0.0002, 0.0000, 3.2324e-04, 0.2595, 0.1201, 9.6517e-02, 9.5627e+02, 0.58185, a>0.4R_H
5.68, 0.00, 0.2789, 0.0004, 7.0245e-01, 0.2424, 0.0001, 5.3578e-02, 1.0000e+07, 3382.19441, tmax
4.84, 0.00, 0.6755, 0.0001, -9.8177e-02, 0.6520, 0.0002, 9.9187e-01, 3.3161e+06, 1364.42884, d<R_roche
5.16, 0.00, 0.5976, 0.0001, 5.1718e-02, 0.7837, 0.0001, 4.3455e+00, 2.4757e+06, 1110.78375, a>0.4R_H
7.15, 0.00, 0.1124, 0.0003, 6.9700e-01, 0.1363, 0.0002, 7.5434e-02, 1.0000e+07, 3296.27794, tmax
8.88, 0.00, 0.0003, 0.0003, 2.8802e-04, 0.3018, 0.3018, 2.4347e-01, 8.5381e+02, 0.50561, a>0.4R_H
4.97, 0.00, 0.6340, 0.0001, -1.4241e-02, 0.7289, 0.0003, 3.6415e+00, 3.8212e+06, 1582.86984, d<R_roche
7.77, 0.00, 0.0948, 0.0000, 6.9854e-01, 0.1365, 0.0003, 2.1426e-02, 1.0000e+07, 3270.83899, tmax
7.63, 0.00, 0.0260, 0.0005, 6.7954e-01, 0.1320, 0.0003, 5.5703e-02, 1.0000e+07, 3247.16014, tmax
3.90, 0.00, 0.3044, 0.0001, 6.1957e-01, 0.2568, 0.0006, 1.0553e+02, 1.2094e+06, 636.15113, collision
7.53, 0.00, 0.0526, 0.0006, 6.8608e-01, 0.1281, 0.0004, 1.3405e-02, 1.0000e+07, 3223.13873, tmax
4.51, 0.00, 0.3272, 0.0001, 1.9667e-02, 0.3017, 0.0001, -2.0465e+00, 3.9355e+06, 1700.24343, collision
4.64, 0.00, 0.6098, 0.0000, -1.6121e-01, 706.2171, 0.0003, -1.2565e+00, 2.2169e+06, 977.17742, a<0
6.47, 0.00, 0.0698, 0.0006, 6.7578e-01, 0.1066, 0.0002, 5.9430e-02, 1.0000e+07, 3240.79448, tmax
6.25, 0.00, 0.0295, 0.0004, 6.7768e-01, 0.1001, 0.0001, 4.8121e-02, 1.0000e+07, 3238.87100, tmax
6.45, 0.00, 0.0385, 0.0006, 6.8143e-01, 0.1030, 0.0001, 8.2293e-03, 1.0000e+07, 3260.72335, tmax
6.36, 0.00, 0.0935, 0.0006, 6.8029e-01, 0.1089, 0.0001, 1.6504e-04, 1.0000e+07, 3252.45146, tmax
4.36, 0.00, 0.5328, 0.0000, 2.9661e-03, 107.2028, 0.0002, -1.6485e+00, 2.9608e+06, 1326.09927, a<0
7.98, 0.00, 0.0201, 0.0000, 6.9097e-01, 0.1484, 0.0002, 5.0240e-02, 1.0000e+07, 3213.97574, tmax
5.06, 0.00, 0.5820, 0.0000, 7.0008e-02, 0.9459, 0.0000, 1.1609e+01, 4.2820e+06, 1715.52467, a>0.4R_H
3.55, 0.00, 0.3129, 0.0004, -5.9738e+00, 0.2682, 0.0004, -5.6003e-01, 6.3766e+05, 375.58045, collision
